| Item | Link |
| :--- | :--- |
| **2x(10x) 623ZZ 3x10x4 ball bearings:** £9.04 | https://shorturl.at/6HRec |
| **(2x) 634ZZ 4x16x5mm ball bearings:** £1.33 | https://shorturl.at/NZgdB |
| **(6x) Feetech sts3215 12V 30kg.cm:** £101.16 | https://shorturl.at/bCg5n |
| **Sherpa mini extruder:** £52.40 | https://shorturl.at/v7Lxk |
| **Bambu Complete Hotend P1 series:** £32 | https://shorturl.at/cEKp6 |
| **BIGTREE SKR MINI E3 V3:** £30.74 | https://shorturl.at/oUwR3 |
| **Orange Pi Zero 3 1GB:** £25.19 | https://shorturl.at/dSevz |
| **Mean Well LRS-350-24:** £19.29 | https://shorturl.at/qgIN7 |
| **Creality CR touch sensor:** £13.21 | https://shorturl.at/BHMbB |
| **Heated bed 220x220:** £9.22 | https://shorturl.at/qtuuK |
| **Magnetic build plate 220x200:** £11.09 | https://shorturl.at/Uqa8q |
| **(4x) WINSINN 4010 dual ball:** £8.33 | https://shorturl.at/2CEpx |
| **Cable sleeve 8mm ID 10m:** £2.32 | https://shorturl.at/EFGds |
| **PTFE tube ID2xOD4:** £3.30 | https://shorturl.at/RnMfh |
| **(100x) Shim 3mmx5mmx0.2mm:** £4.20 | https://shorturl.at/bvFY4 |
| **(100x) Shim 3mmx5mmx0.5mm:** £1.41 | https://shorturl.at/OnAkw |
| **2x Step Down converters:** £3.04 | https://shorturl.at/Tfizy |
| **2x 16T 3mm bore pulleys:** £2.02 | https://shorturl.at/RUeFI |
| **3x 20T 3mm bore pulleys:** £4.98 | https://shorturl.at/0o7Q1 |
| **2GT-124mm timing belt:** £0.97 | https://shorturl.at/CsCD9 |
| **2GT-144mm timing belt:** £0.99 | https://shorturl.at/CsCD9 |
| **2GT-360mm timing belt:** £2.05 | https://shorturl.at/Gi5LF |
| **2x 20T Bevel gears:** £5.46 | https://shorturl.at/Vbabv |
| **2x 20T Gears 5mm:** £4.82 | https://shorturl.at/7Cs7r |
| **Waveshare bus adapter:** £5.34 | https://shorturl.at/gICwZ |
| **M2 set:** £3.89 | https://shorturl.at/tEjCM |
| **M3 set:** £6.99 | https://shorturl.at/xZntp |
| **Shoulder bolts 14mm:** £1.81 | |
| **Shoulder bolts 16mm:** £1.84 | https://shorturl.at/0MGZs |
| **Shoulder bolts 25mm:** £2.48 | |
| **Shoulder bolts 35mm:** £5.39 | https://shorturl.at/oOz2e |
| **(20) M2 thin:** £3 | https://shorturl.at/cytfH |
| **(50) M3 thin:** £3.50 | https://www.accu.co.uk/thin-hexagon-nuts/73054-HFN-M3-A2 |
| **(2) M3x14mm:** £1.18 | https://www.accu.co.uk/socket-button-screws/8105-SSB-M3-14-A2 |
| **(2) M3x22mm:** £0.98 | https://www.accu.co.uk/socket-button-screws/8109-SSB-M3-22-A2 |
| **(2) M3x40mm:** £1.04 | https://www.accu.co.uk/socket-button-screws/8113-SSB-M3-40-A2 |
| **(1) M3x55mm (lock):** £1.78 | https://www.accu.co.uk/torx-pan-head-screws/475996-SHP-M3-55-V2-A4-R360 |
| **(2) M2.5x16mm:** £2.06 | https://www.accu.co.uk/socket-button-screws/8272-SSB-M2-5-16-A4 |
